Company,Brand Primary (HEX),Brand Secondary (HEX),Brand Accent (HEX),Notes,How to apply in .tex
DEFAULT (neutral),#1A1A2E,#4A4A6A,#7B2D8B,Generic dark purple — works for any company,"Replace 3 \definecolor lines at top of Satvik_Jain_Resume.tex"
Figma,#1A1A2E,#4A4A6A,#A259FF,Figma's iconic purple — design-first signal,"brand-primary=#1A1A2E, accent=#A259FF"
Canva,#00C4CC,#007B7F,#8B3DFF,Canva teal + purple palette,"brand-primary=#00C4CC, accent=#8B3DFF"
Midjourney,#000000,#333333,#7289DA,Dark minimalist + Discord blue accent,"brand-primary=#000000, accent=#7289DA"
Perplexity AI,#20808D,#145C66,#FF6B35,Teal primary + orange accent,"brand-primary=#20808D, accent=#FF6B35"
Suno,#8B5CF6,#6D28D9,#F59E0B,Purple + amber — music AI brand,"brand-primary=#8B5CF6, accent=#F59E0B"
ElevenLabs,#0F0F0F,#1F1F1F,#F97316,Dark + orange brand identity,"brand-primary=#0F0F0F, accent=#F97316"
Notion,#000000,#37352F,#2EAADC,Classic Notion black + blue detail,"brand-primary=#000000, accent=#2EAADC"
Webflow,#4353FF,#3444CC,#FFC93C,Webflow blue + yellow,"brand-primary=#4353FF, accent=#FFC93C"
Runway ML,#000000,#1C1C1C,#FF3366,Runway dark + hot pink,"brand-primary=#000000, accent=#FF3366"
Duolingo,#58CC02,#3D8F00,#FF9600,Duolingo green + orange,"brand-primary=#58CC02, accent=#FF9600"
Lovable,#FF4081,#C2185B,#7C4DFF,Lovable pink + purple,"brand-primary=#FF4081, accent=#7C4DFF"
CRED,#1C1C1E,#2C2C2E,#B8860B,CRED black + gold premium,"brand-primary=#1C1C1E, accent=#B8860B"
Meesho,#9C27B0,#7B1FA2,#FF6F00,Meesho purple + amber,"brand-primary=#9C27B0, accent=#FF6F00"
Zepto,#FDD835,#F57F17,#1565C0,Zepto yellow + blue,"brand-primary=#1565C0, accent=#FDD835"
PhonePe,#5F259F,#4A148C,#00BFA5,PhonePe purple + teal,"brand-primary=#5F259F, accent=#00BFA5"
Razorpay,#2D9EE0,#1976D2,#072654,Razorpay blue palette,"brand-primary=#2D9EE0, brand-secondary=#072654, accent=#1976D2"
Swiggy,#FC8019,#E56B00,#1C1C1C,Swiggy orange + dark,"brand-primary=#FC8019, accent=#1C1C1C"
Spotify,#1DB954,#158A3E,#000000,Spotify green + black,"brand-primary=#1DB954, accent=#000000"
Miro,#FFD02F,#E5B800,#050038,Miro yellow + deep navy,"brand-primary=#FFD02F, accent=#050038"
Clay,#000000,#1A1A1A,#4F46E5,Clay dark + indigo,"brand-primary=#000000, accent=#4F46E5"
Superhuman,#DC2626,#991B1B,#1F2937,Superhuman red + dark grey,"brand-primary=#DC2626, accent=#1F2937"
Intercom,#1F8DEE,#1565C0,#0D1117,Intercom blue + dark,"brand-primary=#1F8DEE, accent=#0D1117"
Framer,#0055FF,#0044CC,#000000,Framer electric blue + black,"brand-primary=#0055FF, accent=#000000"
Linear,#5E6AD2,#4B55C0,#F2F2F2,Linear indigo + light,"brand-primary=#5E6AD2, accent=#F2F2F2"
